i,ml,mom,gmm,cue,el
982,0,0,0,0,0
983,0,1,0,0,0
984,0,0,0,0,0
985,0,1,0,1,0
986,0,1,0,0,0
987,0,1,0,0,0
988,0,1,0,0,0
989,0,0,1,1,0
990,0,0,0,0,1
991,0,0,0,0,0
992,0,0,0,0,0
993,0,0,0,0,0
994,0,0,1,0,0
995,0,1,0,1,1
996,0,1,0,1,1
997,0,1,0,1,1
998,0,0,0,1,0
999,0,1,0,1,0
1000,0,0,0,1,1
